Format Version,1.1,Take Name,Take 2026-06-19 04.10.03 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-19 04.10.03.102 PM,Total Frames,36281,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000,Marker-10001,Marker-10001,Marker-10001,Marker-10002,Marker-10002,Marker-10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
141,1.175000,-1.478366,1.373886,0.991776,-1.496876,1.386339,0.969010,-1.519654,1.389559,0.990372
142,1.183333,-1.478523,1.373684,0.993031,-1.497029,1.386260,0.970318,-1.519817,1.389382,0.991654
143,1.191667,-1.478774,1.373481,0.994169,-1.497273,1.386193,0.971491,-1.520098,1.389139,0.992831
144,1.200000,-1.479032,1.373277,0.995203,-1.497479,1.386148,0.972564,-1.520358,1.388947,0.993900
145,1.208333,-1.479185,1.373112,0.996124,-1.497635,1.386044,0.973517,-1.520519,1.388746,0.994852
146,1.216667,-1.479277,1.372935,0.996979,-1.497714,1.385973,0.974368,-1.520617,1.388550,0.995671
147,1.225000,-1.479351,1.372763,0.997582,-1.497787,1.385945,0.975107,-1.520662,1.388392,0.996408
148,1.233333,-1.479577,1.372359,0.997692,-1.497945,1.385645,0.975152,-1.520754,1.388270,0.997005
149,1.241667,-1.479545,1.372607,0.998617,-1.497928,1.385831,0.976153,-1.520866,1.388198,0.997426
150,1.250000,-1.479651,1.372529,0.999025,-1.498086,1.385808,0.976518,-1.520988,1.388111,0.997804
151,1.258333,-1.479878,1.372151,0.998735,-1.498259,1.385572,0.976278,-1.521100,1.388027,0.998102
152,1.266667,-1.479887,1.372417,0.999530,-1.498309,1.385797,0.977172,-1.521262,1.387910,0.998428
153,1.275000,-1.480079,1.372369,0.999753,-1.498509,1.385769,0.977432,-1.521455,1.387854,0.998717
154,1.283333,-1.480474,1.372064,0.999625,-1.498809,1.385548,0.977232,-1.521727,1.387753,0.999060
155,1.291667,-1.480654,1.372279,1.000567,-1.499055,1.385731,0.978311,-1.522047,1.387608,0.999570
156,1.300000,-1.480965,1.372132,1.001221,-1.499450,1.385699,0.978971,-1.522438,1.387412,1.000201
157,1.308333,-1.481454,1.371693,1.001454,-1.499873,1.385437,0.979239,-1.522766,1.387245,1.001012
158,1.316667,-1.481785,1.371543,1.002340,-1.500225,1.385347,0.980205,-1.523180,1.387014,1.001955
159,1.325000,-1.482170,1.371342,1.003398,-1.500625,1.385304,0.981420,-1.523642,1.386747,1.003063
160,1.333333,-1.482599,1.371037,1.004668,-1.501092,1.385135,0.982810,-1.524161,1.386375,1.004406
161,1.341667,-1.483132,1.370733,1.006092,-1.501629,1.385012,0.984419,-1.524702,1.385972,1.005975
162,1.350000,-1.483752,1.370437,1.007711,-1.502210,1.384841,0.986052,-1.525314,1.385497,1.007711
163,1.358333,-1.484392,1.370103,1.009395,-1.502843,1.384645,0.987814,-1.525958,1.385089,1.009479
164,1.366667,-1.485032,1.369717,1.011169,-1.503531,1.384477,0.989708,-1.526677,1.384559,1.011310
165,1.375000,-1.485673,1.369274,1.012981,-1.504206,1.384206,0.991683,-1.527403,1.384017,1.013273
166,1.383333,-1.486350,1.368774,1.014927,-1.504878,1.383886,0.993739,-1.528083,1.383424,1.015280
167,1.391667,-1.486989,1.368248,1.016910,-1.505507,1.383534,0.995859,-1.528823,1.382793,1.017345
168,1.400000,-1.487648,1.367667,1.018965,-1.506163,1.383232,0.998130,-1.529466,1.382123,1.019460
169,1.408333,-1.488263,1.367094,1.021084,-1.506781,1.382818,1.000346,-1.530112,1.381372,1.021663
170,1.416667,-1.488800,1.366451,1.023192,-1.507316,1.382357,1.002569,-1.530698,1.380635,1.023879
171,1.425000,-1.489323,1.365786,1.025277,-1.507842,1.381905,1.004877,-1.531231,1.379906,1.026048
172,1.433333,-1.489838,1.365036,1.027398,-1.508309,1.381391,1.007125,-1.531768,1.379077,1.028224
173,1.441667,-1.490354,1.364308,1.029506,-1.508791,1.380854,1.009330,-1.532271,1.378291,1.030361
174,1.450000,-1.490820,1.363628,1.031466,-1.509242,1.380348,1.011420,-1.532740,1.377487,1.032414
175,1.458333,-1.491310,1.362955,1.033350,-1.509741,1.379850,1.013464,-1.533291,1.376678,1.034342
